US Market Option Chain Data Providers - Last Updated: 2026-05-16
"Coverage: Equity Options (OPRA), Index Options (SPX/VIX), CME Futures Options (CME/CBOT/NYMEX/COMEX) | EOD Daily Focus"
Provider,URL,Asset Classes,Monthly Cost (USD),Cost Notes,Historical Depth,Delivery Format,Latency,Data Fields,Rate Limits,Python SDK,API Documentation,Detailed Coverage,Pros,Cons,Status,Notes (90-day updates),Last Verified
Provider,URL,Asset Classes,Monthly Cost (USD),Cost Notes,Historical Depth,Delivery Format,Latency,Data Fields,Rate Limits,Python SDK,,,Pros,Cons,Status,Notes (90-day updates),Last Verified
Databento,https://databento.com,Equity (OPRA) + CME Futures Options,$179/mo Standard,"Usage-based from $0.04/GB (OPRA). Standard $179, Plus $1,500, Unlimited $4,000. $125 free credits.",13+ yr OPRA; 15+ yr CME,"REST, WebSocket, S3, CSV/JSON/DBE",EOD + Real-time + Tick,"Trades, BBO, MBP, MBO, OHLCV, OI, reference. NO pre-computed Greeks.",Unlimited on paid,Yes (pip install databento),https://databento.com/docs (main); https://pypi.org/project/databento/ (Python SDK),"US Equity Options (OPRA) + CME Futures Options | MDP 3.0 tick data | Fields: Trades,BBO,MBP,MBO,OHLCV,OI | NO pre-computed Greeks | 13+yr OPRA; 15+yr CME | REST+WS+S3 (CSV/JSON/DBE) | $0.04/GB OPRA | pip install databento",Best-in-class DX; single API for equities+futures; transparent pricing; tick-level,No pre-computed Greeks/IV; pricing can escalate on large pulls,Priority #1,Best all-in-one for US. Test data size vs cost for daily EOD pulls.,2026-05-16
IVolatility,https://ivolatility.com,Equity + Index + CME Futures Options,$199/mo Quant,"Builder $79, Quant $199, Lab $399, PRO custom. 63 global exchanges.",3yr Builder; 5yr Quant; 20yr Lab,"REST, WebSocket, FTP, SFTP, Snowflake, AWS, Azure",EOD + Intraday + Real-time,"OHLC, Volume, OI, Hist Vol, IV, Greeks, IV Surfaces, IVX/IVP/IVR",1 req/sec burst 5; 20K/mo Builder; 100K/mo Quant,No official SDK,https://www.ivolatility.com/documentation/,"63 global exchanges | Equity+Index (SPX/VIX) + CME Futures Options | 20+yr history | Fields: Greeks,IV,IV Surfaces,IVX/IVP/IVR,OHLC,Volume,OI | REST+WS+FTP+SFTP+Snowflake+AWS+Azure | EOD+Intraday+Real-time | 1 req/sec burst 5 | No official Python SDK",ONLY provider with equity+index+CME futures + pre-computed Greeks; 20+ yr history,Low burst rate; no Python SDK; enterprise pricing for PRO,Priority #2,Best analytics/Greeks. Low API rate limit -- plan bulk pulls carefully.,2026-05-16
dxFeed,https://dxfeed.com,Equity + Index (SPX/VIX) + CME Futures,Custom ($19+/mo via partners),Contact sales. Custom pricing. ~$19/mo via Optimus Futures for single market.,Extensive (varies by feed),"REST, WebSocket, historical download, replay",EOD + Real-time + Delayed,"Bid/ask, last sale, T&S, L2/L3, candles, Greeks, TheoPrice, IV",Varies by plan,No (Java-focused),https://kb.dxfeed.com/en/data-services/real-time-data/options-theoprice-greeks.html,"Equity+Index (SPX/VIX) + CME Futures | Options analytics: Bid/Ask,Last,T&S,L2/L3,Candles | Greeks: Delta,Gamma,Theta,Vega,Rho,TheoPrice,IV | Institutional grade; Java-centric | REST+WS+Historical Download+Replay | Custom pricing (~$19/mo via partners) | No Python SDK",Institutional-grade; all asset classes; global coverage; options analytics,Enterprise pricing; no self-service; Java-centric; no Python SDK,Researching,Too enterprise-heavy for solo researcher? Check partner pricing.,2026-05-16
Polygon.io (Massive),https://polygon.io,Equity (OPRA) + Index (SPX),$79/mo Developer,"Basic Free, Starter $29, Developer $79, Advanced $199. Now Massive.com.",2yr Basic/Starter; 4yr Developer; 5yr+ Advanced,"REST, WebSocket, S3 flat files, SQL",EOD + 15min delayed + Real-time,"OHLCV, trades, quotes, Greeks, IV, OI, contract details",5/min Free; Unlimited paid,Yes (pip install polygon-api-client),https://polygon.io/docs/options (Options API docs); https://github.com/polygon-io/client-python (Python),"US Equity Options (OPRA) + Index (SPX) | NO CME futures options | 2-5+yr history depending on tier | Fields: OHLCV,Trades,Quotes,Greeks,IV,OI,Contract details | REST+WS+S3 flat files+SQL | Free: 5 req/min; Paid: Unlimited | pip install polygon-api-client | Now Massive.com",Clean API; excellent Python SDK; flat pricing; great docs; free tier,NO CME futures options; history depth limited vs competitors,Priority #3,Best dev experience for equity/index. No CME futures -- gap to fill.,2026-05-16
ThetaData,https://thetadata.net,Equity (OPRA) + Index Options,$80/mo Standard,"Value $40, Standard $80, Pro $160. QuantConnect integration.",4yr Value; 8yr Standard; 12yr Pro,"gRPC REST, WebSocket, CSV flat files",EOD + Real-time + Tick,"Trades, quotes, NBBO, OHLCV, Greeks (1st/2nd/3rd order), IV, OI",Unlimited requests,Yes (pip install thetadata),https://http-docs.thetadata.us/ (REST); https://pypi.org/project/thetadata/ (Python),"US Equity Options (OPRA) + Index Options | NO CME futures | 4-12yr history depending on tier | Fields: Trades,Quotes,NBBO,OHLCV | Greeks: 1st/2nd/3rd order Delta,Gamma,Theta,Vega + IV + OI | gRPC REST+WS+CSV flat files | Unlimited requests | pip install thetadata | $40-160/mo",Very cost-effective; tick-level; comprehensive Greeks (3 orders); 12-yr history,NO CME futures; requires local terminal process; Alpha SDK,Testing,Best value for tick-level + Greeks. No CME futures.,2026-05-16
ORATS,https://orats.com,Equity (OPRA) + Index (30+ incl SPX),$99/mo Delayed,"Delayed $99, Live $199, Live Intraday $399.",15+ years (since 2007),REST API,EOD (14min before close) + Real-time,"OHLC, bid/ask, volume, OI, Greeks, IV, IV surfaces, skew/kurtosis, 500+ indicators",20K/mo Delayed; 100K/mo Live; 1M/mo Intraday,No official SDK,https://docs.orats.com/ (REST API); https://docs.orats.com/endpoints/options/strikes,"US Equity Options (OPRA) + 30+ Index options incl SPX | NO CME futures | 15+yr history (since 2007) | Fields: OHLC,Bid/Ask,Volume,OI,500+ indicators | Greeks: Delta,Gamma,Theta,Vega,Rho + IV + IV Surfaces + Skew/Kurtosis | REST API only | EOD (14min before close) + Real-time tiers | 20K-1M req/mo | No official Python SDK",Deepest history (2007); 500+ proprietary analytics; IV surfaces; SMV clean quotes,NO CME futures; EOD-only for historical; REST-only; no Python SDK,Testing,Best for backtesting. 15+ yr history is unmatched for equity/index.,2026-05-16
EODHD,https://eodhd.com,"Equity Options (6,000+ US tickers)",$30/mo Options add-on,Options: $29.99/mo. All-in-One: $99.99/mo. 30+ yr equity data.,~2 years options,"REST API, CSV bulk download",EOD only,"Bid/ask, OHLC, volume, OI, Greeks, IV, contract details (40+ fields)",100K calls/day; 1K calls/min,No official SDK,https://eodhd.com/financial-apis/options-data-api/ (Options API); https://eodhd.com/api-documentation/,"US Equity Options (6000+ tickers) | ~2yr options history | 30+yr equity data | Fields: Bid/Ask,OHLC,Volume,OI | Greeks: Delta,Gamma,Theta,Vega,Rho + IV + Contract details (40+ fields) | REST API + CSV bulk download | 100K calls/day; 1K/min | NO index options; NO CME futures | $29.99/mo Options add-on",Very affordable; 30+ yr equity data; 60+ global exchanges; simple REST,Only 2yr options history; NO index or CME futures; no real-time,Testing,Budget option. 2yr history is short. Good for equity options only.,2026-05-16
Intrinio,https://intrinio.com,Equity Options (OPRA),$150/mo Bronze,"Bronze ~$150, Silver ~$800, Gold ~$1,600. EOD on Bronze.",Oct 2021 to present,"REST, WebSocket (Gold), Snowflake, FTP, downloads",EOD (Bronze) + 15min delayed + Real-time,"Bid/ask, last price, volume, OI, Greeks, IV, unusual options activity",300/min Bronze; 2K/min Silver/Gold,Yes (pip install intrinio-sdk),https://docs.intrinio.com/documentation/api_v2 (Options API); https://github.com/intrinio/python-sdk (Python),"US Equity Options (OPRA) | Oct 2021 to present | NO index/CME futures | Fields: Bid/Ask,Last Price,Volume,OI | Greeks: Delta,Gamma,Theta,Vega,Rho + IV + Unusual Options Activity | REST+WS (Gold)+Snowflake+FTP | 300/min Bronze; 2K/min Silver/Gold | $150-1600/mo | pip install intrinio-sdk",Professional-grade; excellent SDKs; unusual options activity,Expensive; NO index or CME futures; short options history; Bronze is EOD-only,Researching,Too expensive for EOD-only. Skip unless unusual options activity needed.,2026-05-16
