Indian Market Option Chain Data Providers - Last Updated: 2026-05-16
"Coverage: NSE (Equity + Index F&O), BSE F&O, MCX Commodities | EOD Daily Focus"
Provider,URL,Asset Classes,Monthly Cost (USD),Cost Notes,Historical Depth,Delivery Format,Latency,Data Fields,Rate Limits,Python SDK,API Documentation,Detailed Coverage,Pros,Cons,Status,Notes (90-day updates),Last Verified
TrueData,https://www.truedata.in/products/marketdataapi,"NSE F&O, BSE F&O, MCX",$17-34/mo/segment,"Rs 1,440-2,796/segment. Combo discounts. 10% off annual.",Full (years of daily data),REST API + WebSocket,EOD + Real-time,"OHLCV, Option Chain, Greeks (Delta/Theta/Gamma/Vega/IV)",Based on plan tier; symbol-limited (50-100 base),Yes (truedata-ws on PyPI),https://www.truedata.in/market-data-apis (main); https://feedback.truedata.in/knowledge-base (KB),"NSE,BSE,MCX | NFO/BFO/CDS/MCX segments | Option Chain: LTP,Volume,OI,IV,Bid/Ask,Strike,Expiry | Greeks: D,G,T,V (live) | WS+REST | Authorized NSE L1 vendor",Authorized NSE/BSE/MCX L1 vendor; reliable; excellent Python SDK; Greeks included,Per-segment pricing adds up; no IV surface; API pricing needs ticket,Priority #1,Confirm expired contract history availability,2026-05-16
Global Datafeeds (GFDL),https://globaldatafeeds.in/apis/,"NSE F&O, BSE F&O, MCX, NCDEX",Custom (Premium),No published pricing. Contact sales. Reported expensive.,Extensive (tick to monthly),"WebSocket, REST, FIX, DotNet, COM",EOD + Real-time,"OHLCV, Full Option Chain, Greeks, IV",Custom per contract; 1 active WS session/key,Yes (wsgfdl-py on PyPI),https://globaldatafeeds.in/apis/ (main); https://pypi.org/project/ws-gfdl/ (Python),"NSE,BSE,MCX,NCDEX | NFO/BFO/CDS/MCX segments | Dedicated Option Chain + Greek APIs | Greeks: D,G,T,V + IV | WS+REST+FIX+DotNet | Authorized L1 vendor since 2010",Oldest vendor (2009); FIX protocol; battle-tested; comprehensive,Opaque pricing; requires sales contact; docs not dev-polished,Researching,Request pricing quote for all 3 segments,2026-05-16
NSE India (Official),https://www.nseindia.com/static/market-data/eod-historical-data-subscription,"CM, F&O, CD, COM (all NSE)",Enterprise (Contact),marketdata@nse.co.in. Binary EOD files via SFTP.,Full archive (all trading days),SFTP (binary files),EOD only,"Full OHLCV, settlement, volume, OI. No Greeks/IV computed.",N/A (SFTP delivery),No (raw binary parsing needed),https://www.nseindia.com/static/market-data/real-time-data-subscription,"NSE only | CM,F&O,CDS,WDM,COM | Unofficial web API: /api/option-chain-indices, /api/option-chain-v3 | Fields: Strike,LTP,OI,Volume,IV,Bid/Ask | NO Greeks in public API | NO expired options via public API | Commercial: leased line multicast feed",Authoritative source; most comprehensive; no middleman,Not dev-friendly; binary format; enterprise agreement required,Researching,Check if retail/institutional pricing exists,2026-05-16
Zerodha Kite Connect,https://zerodha.com/products/api/,"NSE F&O, BSE F&O, MCX",$24/mo,"Rs 2,000/mo. Requires Zerodha trading account.",10 years daily; intraday shorter,REST API + WebSocket,EOD + Real-time,"OHLCV, OI (with flag). NO Greeks/IV.",3 req/sec historical; 20 req/sec quotes,Yes (kiteconnect on PyPI),https://kite.trade/docs/connect/v3/,"NSE,BSE,MCX,NCDEX | All segments via broker | NO single-call Option Chain API — build from instrument tokens+WS | NO Greeks (compute locally) | Instrument list: daily CSV of all options+derivatives | 3 WS connections, 3000 tokens each max | Expired instruments CSV available",Best documentation in India; excellent Python SDK; large community,NO historical data for expired options; no Greeks; needs trading account,Testing,CRITICAL GAP: no expired contract data. Deal-breaker for backtesting?,2026-05-16
FYERS API,https://myapi.fyers.in/docsv3,"NSE F&O, BSE F&O, MCX",Free data / $6/mo bridge,"API free. Bridge: Rs 500/mo or Rs 3,500/yr. Needs FYERS account.",Several years daily,REST API + WebSocket (5000 symbols),EOD + Real-time,"OHLCV, Option Chain. NO Greeks/IV.",Per-minute rate limit; blocked if exceeded 3+,Yes (fyers-apiv3 on PyPI),https://myapi.fyers.in/docs/; https://fyers.in/api-documentation/,"NSE,BSE,MCX | Equity,F&O,Currency,Commodity | Option Chain API v3: strike-wise LTP,OI,OI Chg%,Volume,Bid/Ask,IV | Greeks: D,G,T,V per strike | WS up to 5000 scrips | Historical OHLC; option chain historical via polling",Free data API; 5000 WebSocket subscriptions; multi-language SDKs,No Greeks/IV; needs trading account; rate limit enforcement strict,Testing,Best free option. Test Greek computation from raw data,2026-05-16
Upstox Developer API,https://upstox.com/developer/api-documentation/,"NSE F&O, BSE F&O, MCX, CDS, NCDEX",Free,Free (brokerage on trades). Needs Upstox account.,1-min: 1mo; 30min/day: 1yr; week/mo: 10yr,REST API + WebSocket v3,EOD + Real-time,"OHLCV, Option Chain, Greeks, PCR, OI, Volume",Standard rate limits,Yes (upstox-python on PyPI),https://upstox.com/developer/api-documentation/open-api/ (main); /get-pc-option-chain/ (OC docs),"NSE (NOT MCX for OC) | Equity,Equity F&O,Currency,Commodity | Dedicated Put/Call Option Chain API | Fields: LTP,Close,Volume,OI,Bid/Ask,Prev OI | Greeks: D,G,T,V per CE/PE | PCR at chain level | NOT available for MCX exchange | Python/Node/Java/PHP SDKs",Free; includes Greeks/IV; widest segment coverage; 10-yr monthly history,Auto-generated SDK; expired contract data limited; reliability varies,Testing,Only broker API with Greeks. Test reliability over 30 days,2026-05-16
ICICI Direct Breeze,https://api.icicidirect.com/breezeapi/documents/index.html,NSE F&O only,Free,Free. Needs ICICI Direct account.,Available for historical candles,REST API + WebSocket,EOD + Real-time,"OHLCV, Option Chain, historical F&O data","100 req/min; 5,000 req/day",Yes (breeze-connect on PyPI),https://api.icicidirect.com/breezeapi/documents/index.html,"NSE only (no BSE, no MCX) | Equity,Equity Futures,Equity Options | Option Chain API: get_option_chain_quotes() — OHLC,LTP,LTT,Bid/Ask,OI,OI Chg,Total Qty Traded | NO Greeks (calculate locally) | 100 req/min; 5000 req/day | Static IP required",Free; official SDK; good docs,NSE only (no BSE/MCX); 5000 calls/day cap; ICICI account needed,Testing,Low daily cap limits bulk historical pulls. Good for spot checks.,2026-05-16
Angel One SmartAPI,https://smartapi.angelbroking.com/,"NSE F&O, BSE F&O, MCX, CDS",Free,Free. Needs Angel One account.,1-min: 30 days; 5-min: 100 days; 15min: 200 days,REST API + WebSocket V2,EOD + Real-time,"OHLCV, LTP. NO OI for options. NO Greeks.",Standard broker limits,Yes (smartapi-python on PyPI/GitHub),https://smartapi.angelbroking.com/docs,"NSE,BSE,MCX | Equity,F&O,Commodity,Currency | Option Greeks API: POST /marketData/v1/optionGreek — D,G,T,V + IV per strike | NO dedicated Option Chain API — build from instrument master+WS/LTP | PCR Volume API available | 7 language SDKs",Free; widest segment coverage; 7 language SDKs,No OI for options (big gap); no Greeks; limited historical depth per request,Researching,Missing OI makes this unusable for options analysis,2026-05-16
NSEPy (Unofficial),https://github.com/swapniljariwala/nsepy,"NSE F&O, NSE Index",Free (open source),Unofficial scraper. May break when NSE changes website.,Depends on NSE website archive,Python library (scrapes NSE site),EOD only,"OHLCV, OI (as available on NSE site)",Rate-limited by NSE site,Yes (nsepy on PyPI),https://github.com/swapniljariwala/nsepy (original); https://pypi.org/project/nsepython/ (successor v2.97),"NSE only | NFO,Index F&O | Scrapes NSE public web APIs (NOT authorized) | /api/option-chain-indices, /api/option-chain-v3 | Fields: Strike,LTP,OI,OI Chg,Volume,IV,Bid/Ask | NO Greeks (compute locally) | Expired weekly options NOT consistently available | May break when NSE changes website",Free; no account needed; simple to use,Unofficial/unstable; no Greeks; no MCX/BSE; scraping risk,Testing,Use as backup only. Risk of IP ban if overused.,2026-05-16
Dhan (DhanHQ API),https://dhanhq.co,"NSE F&O, BSE, MCX (Equity, F&O, Currency, Commodity)",$6/mo (INR 499),Trading API: FREE. Data API: INR 499/mo for real-time + historical,Historical OHLC; expired options data endpoint,"REST API + WebSocket, JSON",Real-time,"Full option chain with Greeks (Delta/Theta/Gamma/Vega), IV, OI, LTP, bid/ask, 20-level market depth",1 unique request per 3 seconds,"Yes (dhanhq PyPI v2.2.0, MIT)",https://dhanhq.co/docs/v2/option-chain/ (OC); https://dhanhq.co/docs/v2/ (main); https://github.com/dhan-oss/DhanHQ-py (Python),"NSE,BSE,MCX | IDX_I,NSE_FNO,BSE_FNO,MCX segments | POST /optionchain: full strike-wise CE+PE data | Fields: LTP,OI,Volume,Prev OI,Prev Vol,Bid/Ask | Greeks: D,G,T,V per CE/PE | IV per CE/PE | Expired Options Data API available | Expiry List API | 1 req/3 sec rate limit",Excellent docs; official Python client; very affordable; full option chain in single call; Greeks included; free trading API,Requires Dhan trading account; 3-sec rate limit; newer platform,Priority #1,STRONG candidate. Cheapest with Greeks + Python SDK. Test expired options endpoint.,2026-05-16
